| Santos               | Fluminense           |     1 x 1     | 2021-02-21 |
----------------------------------------------------------------------------
| Santos               | Corinthians          |     1 x 0     | 2021-02-17 |
----------------------------------------------------------------------------
| Santos               | Coritiba             |     2 x 0     | 2021-02-13 |
----------------------------------------------------------------------------
| Santos               | Goias                |     3 x 4     | 2021-01-24 |
----------------------------------------------------------------------------
| Santos               | Botafogo-RJ          |     2 x 1     | 2021-01-17 |
----------------------------------------------------------------------------
| Santos               | Ceara                |     1 x 1     | 2020-12-27 |
----------------------------------------------------------------------------
| Santos               | Palmeiras            |     2 x 2     | 2020-12-05 |
----------------------------------------------------------------------------
| Santos               | Sport                |     4 x 2     | 2020-11-28 |
----------------------------------------------------------------------------
| Santos               | Internacional        |     2 x 0     | 2020-11-14 |
----------------------------------------------------------------------------
| Santos               | Bahia                |     3 x 1     | 2020-11-01 |
----------------------------------------------------------------------------
| Santos               | Atletico-GO          |     0 x 1     | 2020-10-14 |
----------------------------------------------------------------------------
| Santos               | Gremio               |     2 x 1     | 2020-10-11 |
----------------------------------------------------------------------------
| Santos               | Fortaleza            |     1 x 1     | 2020-09-27 |
----------------------------------------------------------------------------
| Santos               | Sao Paulo            |     2 x 2     | 2020-09-12 |
----------------------------------------------------------------------------
| Santos               | Atletico-MG          |     3 x 1     | 2020-09-09 |
----------------------------------------------------------------------------
| Santos               | Vasco                |     2 x 2     | 2020-09-02 |
----------------------------------------------------------------------------
| Santos               | Flamengo             |     0 x 1     | 2020-08-30 |
----------------------------------------------------------------------------
| Santos               | Athletico-PR         |     3 x 1     | 2020-08-16 |
----------------------------------------------------------------------------
| Santos               | Bragantino           |     1 x 1     | 2020-08-09 |
----------------------------------------------------------------------------
